case,family,root,phase,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,ceiling,physical_work,updates,proposals,cell_proposals,arrow_deallocations,cell_deallocations,trace_len,final_tick,body_hash,live_hash,markers
75,candidate_identity_sign_order_permutation,8100000,8,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,22,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,c4d80d3b1445a094ac62f03e8f3015537224d6775fc76dba0af77c438cb06481,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
76,inhibitory_location_permutation,8100000,8,reference,true,false,true,,true,false,46,2,12,6,2,1,59,22,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,0c049b6eeef4e3692e0b117d936ac01c9aca6a814e6d1e4b2cf3993244fe54dc,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
76,inhibitory_location_permutation,8100000,8,production,true,false,true,,true,false,46,2,12,6,2,1,59,22,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,64fd3a0689552b3be08041381b6e3ec6dfc09115aa9517a24ca9b01178327afe,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
77,irrelevant_negative_not_retained,8100000,8,reference,true,false,true,,true,false,72,2,20,10,6,3,89,22,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,4516e59782ccaf5c8d41847307957e0419f39a10914f86b750dcafe6c95b7d20,useful_live=true;others_gone=true;fires=1/1
77,irrelevant_negative_not_retained,8100000,8,production,true,false,true,,true,false,72,2,20,10,6,3,89,22,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,83c477fca25a213c196c30352bb3c21b37e8891a0e6f2c750bb7dced76d22df4,useful_live=true;others_gone=true;fires=1/1
78,useful_positive_selection_control,8100000,8,reference,true,false,true,,true,false,21,2,4,2,2,1,27,20,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,8c3bfacd31b099b461e922e919586da6a4a1aee41bc8867128b65b82ab7b4181,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
78,useful_positive_selection_control,8100000,8,production,true,false,true,,true,false,21,2,4,2,2,1,27,20,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,850e95f7df089c6bd36eb5c0e0f063cc903eec1255b0457b14666899b2d858fd,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
79,learned_negative_disconnected,8100000,8,reference,true,false,true,,false,true,128,2,20,10,18,9,172,34,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,5b56ab4cacb2821317031f55eb29faaf69d49ac9c881c3cad17b59966797b5e5,disconnected=true;ceiling=true
79,learned_negative_disconnected,8100000,8,production,true,false,true,,false,true,128,2,20,10,18,9,172,34,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,73fbcda1afbddad10438c05eef401b49efe30f062a37c005f0c7aa79146ebe9c,disconnected=true;ceiling=true
80,learned_negative_not_traversed,8100000,8,reference,true,false,true,,false,true,112,2,16,8,14,7,156,39,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,d1b90ef7263d9d80b645e0c802a9b5c4c32c546e4ee35af77782e1a40cce1d35,contact_fires=0
80,learned_negative_not_traversed,8100000,8,production,true,false,true,,false,true,112,2,16,8,14,7,156,39,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,bdd531ffd5902734ff796a6787a72ecceb734ffbcb0f12b1f69834f13de060ca,contact_fires=0
81,fresh_recurrence_packing,8100000,8,reference,true,false,true,,true,false,46,2,12,6,2,1,59,22,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,3333c575fe55acc7d1aeb2ad57c2ff5023e8a79b3f12a73e653deffa73847dab,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
81,fresh_recurrence_packing,8100000,8,production,true,false,true,,true,false,46,2,12,6,2,1,59,22,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,24843feefb1379721c152f12bd85be3ed712b75881ba00a74a982dc1133d6024,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
82,learned_negative_stabilizes,8100000,9,reference,true,false,true,,true,false,46,2,12,6,2,1,59,23,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,bab9075980caf350ee7e97edd912079b9aab8d2f953f78f39ab3aeec2176ca43,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
82,learned_negative_stabilizes,8100000,9,production,true,false,true,,true,false,46,2,12,6,2,1,59,23,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,88231d95fa255c32b688246dabba00ad4958ed4d7280fdbbb6ad7e8f19dc8164,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
83,no_modulation_no_selection,8100000,9,reference,true,false,true,,false,true,91,0,8,4,8,4,141,60,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,bcdfc62a29b6c472d2c32b90d3de664e720b4d4afa8d1cfa692e1f7cd0b5c928,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
83,no_modulation_no_selection,8100000,9,production,true,false,true,,false,true,91,0,8,4,8,4,141,60,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,381e0d51fc0a8550dc9ee9fbcdb96bc49ab9b231c229ca23fed77249ae2f5691,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
84,candidate_identity_sign_order_permutation,8100000,9,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,23,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,54824df5c72c72341e0da60963c1d14b5e8cdc40f8602407c6c99b6f4774ffc5,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
84,candidate_identity_sign_order_permutation,8100000,9,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,23,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,1f17976ddc182406c878ac6453cc4340edefe1da9ec4e6e786ba5c73a477b2a7,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
85,inhibitory_location_permutation,8100000,9,reference,true,false,true,,true,false,46,2,12,6,2,1,59,23,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,cc7a9d0afc3d09c83d19c7a150cb9347716040b06db8095b335080af45348094,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
85,inhibitory_location_permutation,8100000,9,production,true,false,true,,true,false,46,2,12,6,2,1,59,23,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,623166ce3711dfe66ef2733e08cdd8d53a7447e2476e8aaf8da27bf7025aa6f8,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
86,irrelevant_negative_not_retained,8100000,9,reference,true,false,true,,true,false,72,2,20,10,6,3,89,23,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,d3a775c4de9232ca65b00eb16e8f75663892bdceaa9f618a0cf4b7614a28e831,useful_live=true;others_gone=true;fires=1/1
86,irrelevant_negative_not_retained,8100000,9,production,true,false,true,,true,false,72,2,20,10,6,3,89,23,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,0ae60750255b57b4c134de315fa034da2c35bd73dec8c0eb622c87d662052a74,useful_live=true;others_gone=true;fires=1/1
87,useful_positive_selection_control,8100000,9,reference,true,false,true,,true,false,21,2,4,2,2,1,27,21,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,483385f05fb1c30b7d51279ba1f50ee2d40fb68d9bd84517ac735948c6207109,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
87,useful_positive_selection_control,8100000,9,production,true,false,true,,true,false,21,2,4,2,2,1,27,21,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,765076e0f88203ced3eabbb956617242953b5951d6cb9b178cce2d85e814131e,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
88,learned_negative_disconnected,8100000,9,reference,true,false,true,,false,true,128,2,20,10,18,9,172,35,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,03907b98a9c3be011bc18d025ea032af0d59f12ffe82ebaba184eebb9495c894,disconnected=true;ceiling=true
88,learned_negative_disconnected,8100000,9,production,true,false,true,,false,true,128,2,20,10,18,9,172,35,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,034b4a2996180980f4657c786650dfaf2f0b276a7736e9f0b63314fc4ca461e1,disconnected=true;ceiling=true
89,learned_negative_not_traversed,8100000,9,reference,true,false,true,,false,true,112,2,16,8,14,7,156,40,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,502ce5e1e5439bf2e3df88f31bc2cd58fbf7021164f29696696ef66536b1d6a3,contact_fires=0
89,learned_negative_not_traversed,8100000,9,production,true,false,true,,false,true,112,2,16,8,14,7,156,40,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,06190eeb3d007ad19c0cc0aa81859eac85778006b2679058b5ed47f882db7726,contact_fires=0
90,fresh_recurrence_packing,8100000,9,reference,true,false,true,,true,false,46,2,12,6,2,1,59,23,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,268498bf92365b3e2bdaf4213ef3108ab1e14a380b5fd316de31c279cbc796e1,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
90,fresh_recurrence_packing,8100000,9,production,true,false,true,,true,false,46,2,12,6,2,1,59,23,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,e919ae447fec648916b71e3b6d2852c5ff64115c0e91af8098b416a7213ddd4f,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
91,learned_negative_stabilizes,8200001,0,reference,true,false,true,,true,false,46,2,12,6,2,1,59,14,9ea965c2adeb0d383354ae7d7ea1cd21beed18336c831be96b40670ce8d523f7,12701d6f140a6a30e0058a36215f5f434d2d1cfc0f75ac32a35c2e8d4bdc0a13,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
91,learned_negative_stabilizes,8200001,0,production,true,false,true,,true,false,46,2,12,6,2,1,59,14,9ea965c2adeb0d383354ae7d7ea1cd21beed18336c831be96b40670ce8d523f7,3c344815323220d91a7841ff65f372fcd14e7da37ef81f2b16c23d3bba8961fc,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
92,no_modulation_no_selection,8200001,0,reference,true,false,true,,false,true,91,0,8,4,8,4,141,51,b166452f83923e91db1d591d4e9242376232483d3614b59b89a2df5ff87235f9,7e974a7ae215ac3b912c7d5b01f09b2f0dad94d4e817e60d8c2f7be74d1c0f48,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
92,no_modulation_no_selection,8200001,0,production,true,false,true,,false,true,91,0,8,4,8,4,141,51,b166452f83923e91db1d591d4e9242376232483d3614b59b89a2df5ff87235f9,5d34234df8093929ba4f1556e02e48c0da3dbc3d37f488e357ea417d7a6a5e6b,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
93,candidate_identity_sign_order_permutation,8200001,0,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,14,69c48a31efd6bb86d399c71cb6cfe091c1fe0753bad7d538785facd2a38255da,0c507aa17c4fc69d7b41a1eadf2c11a85932af00a3654ad55ffc3a72fd60691c,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
93,candidate_identity_sign_order_permutation,8200001,0,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,14,69c48a31efd6bb86d399c71cb6cfe091c1fe0753bad7d538785facd2a38255da,10fcffff48a2706f2fef5621b3f04bcd8ddbe3c5c4c4c5a9af1bf17e834a5541,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
94,inhibitory_location_permutation,8200001,0,reference,true,false,true,,true,false,46,2,12,6,2,1,59,14,29058c732abaaa16e02584894293f422feb562a4cc68d8fb211ad6330acfc2cb,2acc5daa415443c8ada38db07ad1a7a057e0ce05fe31d73d0bc8921e773a5cdc,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
94,inhibitory_location_permutation,8200001,0,production,true,false,true,,true,false,46,2,12,6,2,1,59,14,29058c732abaaa16e02584894293f422feb562a4cc68d8fb211ad6330acfc2cb,5972c5f0cf84c045626611faad0cc2f68b10165956b5585eb6cc9f4e02116a65,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
95,irrelevant_negative_not_retained,8200001,0,reference,true,false,true,,true,false,72,2,20,10,6,3,89,14,6fba53d00507ff10d01a4145457e4eec74a91a7ea6f8094c58333fce2ef37a18,87ce24b47b9a8377e33d969e23f2c62a350c0823883c3609b6d0b211a0f91d77,useful_live=true;others_gone=true;fires=1/1
95,irrelevant_negative_not_retained,8200001,0,production,true,false,true,,true,false,72,2,20,10,6,3,89,14,6fba53d00507ff10d01a4145457e4eec74a91a7ea6f8094c58333fce2ef37a18,95ccc1fc37cbf46a0c46e7afbd4bdaf2a76a1c3b9ba2c432ba2821eecd7ce555,useful_live=true;others_gone=true;fires=1/1
96,useful_positive_selection_control,8200001,0,reference,true,false,true,,true,false,21,2,4,2,2,1,27,12,c6fd1d35073202e17fe58ca00d87c61aa530e9db580181abf572731fa65a9859,fcdde3e81a26c69525aa4cc88605ee952d351fe229d7d297f41d92a79b9278c9,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
96,useful_positive_selection_control,8200001,0,production,true,false,true,,true,false,21,2,4,2,2,1,27,12,c6fd1d35073202e17fe58ca00d87c61aa530e9db580181abf572731fa65a9859,1d1c2aaa640267229146535dc07c3e6a62d950394db0cd4e90fb66c1f3825c7f,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
97,learned_negative_disconnected,8200001,0,reference,true,false,true,,false,true,128,2,20,10,18,9,172,26,d311d210a582603c2c796183f4715f8e91ee4e22f42b4b359b8de6ed2c70dc19,35223916186df3a14d961634fd1c14cd4f7c081a9331a2bda333b2057aa2c84e,disconnected=true;ceiling=true
97,learned_negative_disconnected,8200001,0,production,true,false,true,,false,true,128,2,20,10,18,9,172,26,d311d210a582603c2c796183f4715f8e91ee4e22f42b4b359b8de6ed2c70dc19,9dde84a57311f0ef0625d188a8fc5d77f5ea82bd7006cfecd6dd2f2a25fe3923,disconnected=true;ceiling=true
98,learned_negative_not_traversed,8200001,0,reference,true,false,true,,false,true,112,2,16,8,14,7,156,31,7e0a9d6e8a423c437f82a3f4425ca467298d96e75b0ccb460cecbfffaf06ae36,1f429b8b1c8cbbb55a714d9ff7d12da92fc14821992a7e78b021bd83d5f4c81a,contact_fires=0
98,learned_negative_not_traversed,8200001,0,production,true,false,true,,false,true,112,2,16,8,14,7,156,31,7e0a9d6e8a423c437f82a3f4425ca467298d96e75b0ccb460cecbfffaf06ae36,16a79167cdf5410d84a900079e93ac80891551ce298ecb8d7f80d16cac8526d5,contact_fires=0
99,fresh_recurrence_packing,8200001,0,reference,true,false,true,,true,false,46,2,12,6,2,1,59,14,83ef7b2501d4b014e4fab330caeee7354087c26b2794d537a7970d1ce8e64b90,b6d3c115d17207e84f358abd05a28bee74d94d2b3fe62b09854a46fa30927e8c,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
99,fresh_recurrence_packing,8200001,0,production,true,false,true,,true,false,46,2,12,6,2,1,59,14,83ef7b2501d4b014e4fab330caeee7354087c26b2794d537a7970d1ce8e64b90,fe984ffb37aefb1acc292f474c8ea250c5d112cef37e4461152440d28bd67861,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
100,learned_negative_stabilizes,8200001,1,reference,true,false,true,,true,false,46,2,12,6,2,1,59,15,9ea965c2adeb0d383354ae7d7ea1cd21beed18336c831be96b40670ce8d523f7,c69433cd2d729a27409415e2993a2527c4963c0c4c3e331ee8c77fce602ee1b7,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
100,learned_negative_stabilizes,8200001,1,production,true,false,true,,true,false,46,2,12,6,2,1,59,15,9ea965c2adeb0d383354ae7d7ea1cd21beed18336c831be96b40670ce8d523f7,a400eafd3fc443d396456fb15cfa18bcec885f83b175bd9e562859a09981a1f1,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
101,no_modulation_no_selection,8200001,1,reference,true,false,true,,false,true,91,0,8,4,8,4,141,52,b166452f83923e91db1d591d4e9242376232483d3614b59b89a2df5ff87235f9,695c4a1e1ed9cb4feba3e847e1b90adadc48b6cd9e7679c8e1f929777216e8be,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
101,no_modulation_no_selection,8200001,1,production,true,false,true,,false,true,91,0,8,4,8,4,141,52,b166452f83923e91db1d591d4e9242376232483d3614b59b89a2df5ff87235f9,22d4f126dbaac24a2e402b75680b32a1b77927a8982e18265e51e5b54f65a09e,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
102,candidate_identity_sign_order_permutation,8200001,1,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,15,69c48a31efd6bb86d399c71cb6cfe091c1fe0753bad7d538785facd2a38255da,3f8ba14897ec8feac58be8b84fa0258545138c4e08376c9a1e6f8a12e474162a,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
102,candidate_identity_sign_order_permutation,8200001,1,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,15,69c48a31efd6bb86d399c71cb6cfe091c1fe0753bad7d538785facd2a38255da,120a215976e4c359327eb71607a97569ab4afbc2ef480e59a185feecab5c994f,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
103,inhibitory_location_permutation,8200001,1,reference,true,false,true,,true,false,46,2,12,6,2,1,59,15,29058c732abaaa16e02584894293f422feb562a4cc68d8fb211ad6330acfc2cb,edabe189c96f39a04df309ca07ee7af2bb68b30b2467cb1c85be5f2847f38651,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
103,inhibitory_location_permutation,8200001,1,production,true,false,true,,true,false,46,2,12,6,2,1,59,15,29058c732abaaa16e02584894293f422feb562a4cc68d8fb211ad6330acfc2cb,c28a9700b723205f5009f21b3ab6d429d37536ec32426d0a862b12ee4bdeaed9,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
104,irrelevant_negative_not_retained,8200001,1,reference,true,false,true,,true,false,72,2,20,10,6,3,89,15,6fba53d00507ff10d01a4145457e4eec74a91a7ea6f8094c58333fce2ef37a18,e83cda4a3132753e53f3e5dc2cebbb41e1399129bcb9ba3941b28cf2d0fc2f21,useful_live=true;others_gone=true;fires=1/1
104,irrelevant_negative_not_retained,8200001,1,production,true,false,true,,true,false,72,2,20,10,6,3,89,15,6fba53d00507ff10d01a4145457e4eec74a91a7ea6f8094c58333fce2ef37a18,6f62a2ade80c11c4d8bf4fd24d16113beb4e7e39df453bf7e91028657fda9f7e,useful_live=true;others_gone=true;fires=1/1
105,useful_positive_selection_control,8200001,1,reference,true,false,true,,true,false,21,2,4,2,2,1,27,13,c6fd1d35073202e17fe58ca00d87c61aa530e9db580181abf572731fa65a9859,4c124ea3c90eb0b36ac203153470f58d86d4aa2a79c356fbffd97cb0d1dad347,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
105,useful_positive_selection_control,8200001,1,production,true,false,true,,true,false,21,2,4,2,2,1,27,13,c6fd1d35073202e17fe58ca00d87c61aa530e9db580181abf572731fa65a9859,a160af26c142d7e915aba27dad34e09dc20aad6f18b4982e14074f4a8ac4070b,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
106,learned_negative_disconnected,8200001,1,reference,true,false,true,,false,true,128,2,20,10,18,9,172,27,d311d210a582603c2c796183f4715f8e91ee4e22f42b4b359b8de6ed2c70dc19,eb27490a681cefc9368a7b583999792064f350a752f74f1c4a6590b78549fbb5,disconnected=true;ceiling=true
106,learned_negative_disconnected,8200001,1,production,true,false,true,,false,true,128,2,20,10,18,9,172,27,d311d210a582603c2c796183f4715f8e91ee4e22f42b4b359b8de6ed2c70dc19,4bd065ecc25fe19db640294dde23c886f39fb033d9477b199b8976a227a69676,disconnected=true;ceiling=true
107,learned_negative_not_traversed,8200001,1,reference,true,false,true,,false,true,112,2,16,8,14,7,156,32,7e0a9d6e8a423c437f82a3f4425ca467298d96e75b0ccb460cecbfffaf06ae36,94bb7985a7ee86ea42860cbdaf5633dd98523c07348ae54336a2672bd090ba2e,contact_fires=0
107,learned_negative_not_traversed,8200001,1,production,true,false,true,,false,true,112,2,16,8,14,7,156,32,7e0a9d6e8a423c437f82a3f4425ca467298d96e75b0ccb460cecbfffaf06ae36,33e403f3c8710cb363734e804944525a47f067232019ef3d0660c75d802efd7e,contact_fires=0
108,fresh_recurrence_packing,8200001,1,reference,true,false,true,,true,false,46,2,12,6,2,1,59,15,83ef7b2501d4b014e4fab330caeee7354087c26b2794d537a7970d1ce8e64b90,823eb448b85ce5f60c720b3eed6b75e77321fb31e8495b81f154d3bf6291d56c,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
108,fresh_recurrence_packing,8200001,1,production,true,false,true,,true,false,46,2,12,6,2,1,59,15,83ef7b2501d4b014e4fab330caeee7354087c26b2794d537a7970d1ce8e64b90,04c929472c6292af090da00014f635bb625e3bcf16e384b1dd26deacae8e8d06,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
109,learned_negative_stabilizes,8200001,2,reference,true,false,true,,true,false,46,2,12,6,2,1,59,16,9ea965c2adeb0d383354ae7d7ea1cd21beed18336c831be96b40670ce8d523f7,eb306302c4d0ad09a518920d95645e3e80f04d2240e9c1f351161dec4601e39e,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
109,learned_negative_stabilizes,8200001,2,production,true,false,true,,true,false,46,2,12,6,2,1,59,16,9ea965c2adeb0d383354ae7d7ea1cd21beed18336c831be96b40670ce8d523f7,57a04d6002182646712a019d9825a200d033cfc3789f2705ed4e172fd1e8bebb,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
110,no_modulation_no_selection,8200001,2,reference,true,false,true,,false,true,91,0,8,4,8,4,141,53,b166452f83923e91db1d591d4e9242376232483d3614b59b89a2df5ff87235f9,4b436a597e7957128b490f0fa64b33009ec5fca282def9bcb38a60562a88424f,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
110,no_modulation_no_selection,8200001,2,production,true,false,true,,false,true,91,0,8,4,8,4,141,53,b166452f83923e91db1d591d4e9242376232483d3614b59b89a2df5ff87235f9,66f949792631a82808e5ee854be01380251d937a0fb2579dff5eafcb1095b80a,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
111,candidate_identity_sign_order_permutation,8200001,2,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,16,69c48a31efd6bb86d399c71cb6cfe091c1fe0753bad7d538785facd2a38255da,1ad458fd82ab200e89448f791e5d1000a238cc00225e2919cda32f4ac1fe3844,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
111,candidate_identity_sign_order_permutation,8200001,2,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,16,69c48a31efd6bb86d399c71cb6cfe091c1fe0753bad7d538785facd2a38255da,129ce9b24fbb3e608429179f87b0ac426c5be3418e9d815659a71add8e366afd,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
112,inhibitory_location_permutation,8200001,2,reference,true,false,true,,true,false,46,2,12,6,2,1,59,16,29058c732abaaa16e02584894293f422feb562a4cc68d8fb211ad6330acfc2cb,8a72ef5115c43e0b13ed23c9348b2e9d4bee8d7a54e4cb2686cd7eefd26ee0ec,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
112,inhibitory_location_permutation,8200001,2,production,true,false,true,,true,false,46,2,12,6,2,1,59,16,29058c732abaaa16e02584894293f422feb562a4cc68d8fb211ad6330acfc2cb,dab0216b2c578c583ae97b42ed8c686524eb543733b45e66f3266c9ddbc5fe83,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
